-9.584426879882812500e-05	-1.196861267089843750e-04	5.585937500000000000e-01	2.021789550781250000e-04	1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	7.343750000000000000e-01
1.000000000000000000e+00	7.812500000000000000e-01	9.687500000000000000e-01	4.277343750000000000e-01	1.000000000000000000e+00	8.359375000000000000e-01	1.000000000000000000e+00	1.000000000000000000e+00
9.882812500000000000e-01	1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	9.921875000000000000e-01	1.000000000000000000e+00	1.000000000000000000e+00
1.000000000000000000e+00	-1.058578491210937500e-04	4.100799560546875000e-04	7.226562500000000000e-01	1.000000000000000000e+00	9.804687500000000000e-01	8.398437500000000000e-01	-1.053810119628906250e-04
9.140625000000000000e-01	-1.096725463867187500e-04	1.025199890136718750e-04	1.000000000000000000e+00	1.000000000000000000e+00	8.554687500000000000e-01	1.000000000000000000e+00	1.000000000000000000e+00
1.335144042968750000e-04	9.492187500000000000e-01	9.804687500000000000e-01	1.000000000000000000e+00	9.687500000000000000e-01	2.059936523437500000e-03	6.210937500000000000e-01	9.257812500000000000e-01
1.000000000000000000e+00	9.687500000000000000e-01	9.843750000000000000e-01	1.000000000000000000e+00	8.671875000000000000e-01	1.000000000000000000e+00	9.257812500000000000e-01	8.476562500000000000e-01
8.632812500000000000e-01	9.921875000000000000e-01	6.679687500000000000e-01	1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	9.257812500000000000e-01	9.296875000000000000e-01
8.359375000000000000e-01	1.000000000000000000e+00	9.570312500000000000e-01	1.000000000000000000e+00	9.179687500000000000e-01	7.890625000000000000e-01	9.921875000000000000e-01	9.726562500000000000e-01
1.000000000000000000e+00	9.921875000000000000e-01	1.000000000000000000e+00	9.726562500000000000e-01	9.257812500000000000e-01	9.960937500000000000e-01	1.000000000000000000e+00	9.960937500000000000e-01
1.000000000000000000e+00	8.710937500000000000e-01	9.921875000000000000e-01	9.687500000000000000e-01	9.960937500000000000e-01	8.437500000000000000e-01	9.882812500000000000e-01	9.687500000000000000e-01
9.960937500000000000e-01	1.000000000000000000e+00	9.960937500000000000e-01	1.000000000000000000e+00	9.687500000000000000e-01	1.000000000000000000e+00	9.765625000000000000e-01	9.882812500000000000e-01
9.335937500000000000e-01	1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	9.843750000000000000e-01	1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00
9.843750000000000000e-01	1.000000000000000000e+00	9.570312500000000000e-01	8.906250000000000000e-01	8.710937500000000000e-01	9.921875000000000000e-01	9.296875000000000000e-01	9.843750000000000000e-01
9.921875000000000000e-01	9.960937500000000000e-01	9.765625000000000000e-01	9.843750000000000000e-01	1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	9.921875000000000000e-01
9.804687500000000000e-01	9.921875000000000000e-01	9.921875000000000000e-01	9.882812500000000000e-01	1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00
1.000000000000000000e+00	9.882812500000000000e-01	5.976562500000000000e-01	1.000000000000000000e+00	1.000000000000000000e+00	9.843750000000000000e-01	1.000000000000000000e+00	1.000000000000000000e+00
